t,ax,ay,az,gx,gy,gz,lat,lon,speed,course,hacc,truth_lat,truth_lon,truth_speed,truth_course
1.501,0.2329,-0.1625,9.6282,0.1488,-0.0045,-0.0194,,,,,,52.4023752,-1.5053581,3.297222222,165.514
1.6,0.2399,-0.2275,9.568,0.1452,0.0383,-0.0237,,,,,,52.4023727,-1.5053569,3.352777778,163.012
1.7,0.2427,-0.1841,9.7453,0.1006,-0.0273,0.014,,,,,,52.40237,-1.505356,3.386111111,164.573
1.799,0.8493,-1.3753,10.6632,-0.0793,0.0112,-0.0725,,,,,,52.4023673,-1.505355,3.344444444,164.43
1.904,-0.1742,0.0747,10.4977,-0.1178,0.0173,-0.0117,,,,,,52.4023644,-1.5053541,3.294444444,165.821
2,-0.4332,0.7329,9.9416,-0.0142,0.0415,-0.0678,,,,,,52.4023615,-1.5053529,3.297222222,165.669
2.1,0.0821,0.6191,9.5202,-0.0068,0.0166,-0.0354,,,,,,52.4023587,-1.5053517,3.333333333,165.546
2.2,0.3408,0.0146,9.1687,0.0486,0.0921,-0.0321,,,,,,52.4023559,-1.5053506,3.355555556,165.701
2.3,-0.59,-0.2295,8.4733,0.014,0.0803,0.0016,,,,,,52.4023531,-1.5053492,3.438888889,164.456
2.4,-1.3266,1.8391,10.3901,-0.1941,0.0436,-0.0311,,,,,,52.4023503,-1.5053477,3.408333333,161.911
2.5,0.3215,2.7861,11.1307,0.2361,0.1196,-0.0445,,,,,,52.4023474,-1.5053462,3.375,162.159
2.599,0.4883,2.5486,10.6682,0.2533,0.1329,0.0268,,,,,,52.4023447,-1.5053448,3.386111111,161.676
2.7,0.568,0.3622,9.4904,0.1248,0.136,-0.0022,,,,,,52.402342,-1.5053432,3.344444444,160.899
2.8,0.3401,0.042,9.1748,0.0941,0.18,-0.0388,,,,,,52.4023393,-1.5053417,3.283333333,160.784
2.9,0.4988,0.7339,8.9675,0.0812,0.159,0.0067,,,,,,52.4023366,-1.5053401,3.241666667,160.097
3,0.1256,1.3934,9.3139,0.0514,0.18,-0.0008,,,,,,52.402334,-1.5053383,3.2,158.154
3.099,0.7762,2.4664,10.2354,0.1055,0.2641,-0.0567,,,,,,52.4023315,-1.5053366,3.219444444,156.819
3.2,1.1457,0.9196,10.3307,0.0506,0.1755,-0.0538,,,,,,52.4023289,-1.5053347,3.119444444,155.196
3.3,0.4627,1.0814,10.5736,-0.062,0.2065,0.0263,,,,,,52.4023264,-1.5053329,3.002777778,155.203
3.4,0.2348,1.0233,9.9966,-0.0367,0.2436,0.0108,,,,,,52.4023241,-1.5053307,2.908333333,151.396
3.5,0.0944,1.4178,9.4003,-0.0296,0.2385,-0.0124,,,,,,52.4023218,-1.5053287,2.883333333,151.929
3.6,0.188,1.2416,9.1328,-0.0074,0.2526,-0.0019,,,,,,52.4023196,-1.5053266,2.825,150.098
3.7,-0.1127,1.0729,9.9209,0.0083,0.2209,0.032,,,,,,52.4023175,-1.5053245,2.766666667,148.818
3.8,-0.3264,0.705,9.8503,0.0029,0.2698,-0.0332,,,,,,52.4023154,-1.5053225,2.733333333,148.044
3.9,0.2652,1.1547,9.8069,0.024,0.3093,-0.0023,,,,,,52.4023135,-1.5053203,2.6777775,146.22
4,0.1513,0.8232,9.9873,0.0104,0.2477,-0.0068,,,,,,52.4023117,-1.5053181,2.633333333,143.187
4.1,0.1029,1.1703,9.7442,0.0159,0.2742,-0.0108,,,,,,52.40231,-1.505316,2.6,142.343
4.2,-0.0436,0.9502,9.524,0.0079,0.3014,-0.0057,,,,,,52.4023082,-1.5053136,2.569444444,140.26
4.3,-0.4003,0.389,9.6215,0.0051,0.2675,-0.0316,,,,,,52.4023066,-1.5053112,2.547222222,137.548
4.4,0.4164,0.423,9.6333,0.0144,0.3081,-0.0744,,,,,,52.402305,-1.505309,2.544444444,138.577
4.5,0.6532,0.6166,9.6456,0.0159,0.2755,-0.0633,,,,,,52.4023034,-1.5053065,2.561111111,135.673
4.599,0.7733,0.8283,9.7768,-0.0342,0.2897,-0.0029,,,,,,52.402302,-1.5053042,2.572222222,134.643
4.7,0.8333,1.1587,9.9401,-0.0768,0.3481,-0.0559,,,,,,52.4023004,-1.5053016,2.6,133.782
4.799,1.2383,0.4485,9.6957,-0.0109,0.3625,-0.0107,,,,,,52.4022991,-1.5052987,2.636111111,129.054
4.899,0.6453,0.7204,9.8588,-0.0317,0.3538,0.0048,,,,,,52.4022977,-1.5052957,2.655555278,126.4
5,0.9009,0.6741,9.8864,-0.0396,0.3558,-0.043,,,,,,52.4022966,-1.5052935,2.675,125.975
5.1,0.3854,1.3368,10.0273,-0.0243,0.3856,-0.0096,,,,,,52.4022954,-1.505291,2.716666667,125.038
5.199,0.6897,0.8797,9.8858,-0.031,0.3723,-0.0152,,,,,,52.4022944,-1.5052882,2.744444444,123.112
5.301,0.6915,1.0667,9.7225,-0.013,0.4351,-0.0886,,,,,,52.4022934,-1.5052854,2.791666667,120.558
5.4,1.0695,1.0701,9.5738,0.01,0.428,-0.0298,,,,,,52.4022924,-1.5052825,2.833333333,119.337
5.5,0.6978,1.0901,9.9882,-0.029,0.4421,-0.1071,,,,,,52.4022916,-1.5052796,2.858333333,116.194
5.6,0.8031,1.4608,9.9076,-0.0382,0.4467,-0.0969,,,,,,52.402291,-1.505277,2.891666667,112.282
5.7,0.7222,1.3535,9.459,0.0112,0.4635,-0.0513,,,,,,52.4022904,-1.5052743,2.875,110.662
5.8,0.0984,1.7204,9.9086,-0.0461,0.4462,-0.0388,,,,,,52.4022901,-1.5052716,2.891666667,105.563
5.9,-0.2168,1.2979,9.6551,-0.0623,0.455,-0.021,,,,,,52.4022898,-1.505269,2.875,101.88
5.999,0.1946,1.3682,9.59,-0.0242,0.4507,-0.0055,,,,,,52.4022897,-1.5052659,2.863888889,97.27
6.099,-0.625,0.7024,10.1868,0.0027,0.4385,-0.0285,,,,,,52.4022894,-1.5052625,2.847222222,97.618
6.199,-0.4525,0.9294,10.1436,-0.009,0.435,-0.0662,,,,,,52.4022894,-1.5052592,2.872222222,95.432
6.3,0.3763,0.9223,9.7458,0.0032,0.4496,-0.0763,,,,,,52.4022893,-1.5052558,2.85,93.381
6.4,-0.1726,0.757,9.7001,0.0109,0.3908,-0.0496,,,,,,52.402289,-1.5052523,2.841666667,96.664
6.499,0.1845,0.9527,9.6126,-0.0459,0.3793,-0.0283,,,,,,52.402289,-1.505249,2.813888889,94.662
6.599,0.0139,1.0839,9.6573,-0.0259,0.384,-0.0226,,,,,,52.4022893,-1.5052456,2.791666667,87.493
6.7,-0.0198,0.7392,9.6014,-0.0391,0.3748,0.0112,,,,,,52.4022896,-1.5052421,2.777777778,84.874
6.8,-0.2592,0.1736,9.9462,0.0112,0.322,0.0465,,,,,,52.4022902,-1.5052383,2.761111111,80.321
6.899,-0.1492,0.1528,10.02,0.0266,0.3087,-0.0184,,,,,,52.4022908,-1.5052348,2.758333056,78.128
7,0.0227,0.3005,9.6951,0.0166,0.2994,-0.0195,,,,,,52.4022913,-1.5052313,2.744444444,76.533
7.1,-0.422,0.1083,9.7994,-0.0451,0.2715,-0.0117,,,,,,52.4022916,-1.5052281,2.719444444,78.629
7.199,-0.1911,0.2388,9.9577,-0.0552,0.2341,-0.0382,,,,,,52.4022923,-1.5052246,2.702777778,76.355
7.3,-1.0802,0.3543,9.7287,-0.049,0.201,0.0127,,,,,,52.4022928,-1.505221,2.605555556,76.165
7.4,-1.5391,0.4037,9.6282,-0.0576,0.175,-0.0028,,,,,,52.4022935,-1.5052175,2.552777778,75.511
7.5,-1.1275,0.3272,9.7235,-0.0522,0.1646,0.0012,,,,,,52.4022941,-1.5052142,2.463888889,75.109
7.6,-0.9694,0.3182,10.0217,-0.0346,0.1661,0.0231,,,,,,52.4022947,-1.5052108,2.394444444,74.363
7.699,-0.7533,-0.0301,10.0044,-0.0186,0.1294,0.0113,,,,,,52.4022954,-1.5052075,2.330555278,73.09
7.801,-0.5379,-0.0217,9.7739,-0.0147,0.1239,0.0263,,,,,,52.4022963,-1.5052046,2.263888889,70.181
7.899,-0.9505,0.143,9.6241,-0.0104,0.1022,0.0123,,,,,,52.4022971,-1.5052016,2.194444444,68.863
8,-1.2553,0.2727,9.9052,-0.0269,0.102,-0.0034,,,,,,52.4022978,-1.5051986,2.119444444,69.335
8.099,-1.0179,0.1581,10.0748,-0.0044,0.0884,-0.0003,,,,,,52.4022987,-1.5051961,2.066666667,65.782
8.199,-0.8337,0.1394,10.0722,0.0048,0.0715,0.0208,,,,,,52.4022996,-1.505194,1.988888889,61.59
8.3,-0.8243,0.2552,10.0491,-0.0168,0.0563,0.0232,,,,,,52.4023003,-1.5051914,1.913888889,64.435
8.399,-0.876,0.1146,9.6756,-0.0082,0.0734,-0.0047,,,,,,52.4023012,-1.505189,1.841666667,63.853
8.5,-0.6263,-0.541,9.9749,0.0255,0.0553,0.0139,,,,,,52.4023019,-1.5051868,1.761111111,64.88
8.599,-1.08,-0.4372,10.381,0.0633,0.0148,0.0153,,,,,,52.402303,-1.5051852,1.675,61.616
8.7,-1.418,0.4348,10.1831,0.0399,0.0471,0.0426,,,,,,52.4023037,-1.5051832,1.594444444,61.797
8.799,-0.9179,-0.5937,9.5741,0.0428,0.045,0.0009,,,,,,52.4023044,-1.5051814,1.513888889,60.909
8.9,-0.6429,-0.1332,9.4179,-0.0221,0.0395,0.0157,,,,,,52.4023051,-1.5051796,1.444444444,62.704
8.999,-0.5765,-0.1337,9.5927,-0.0515,0.0272,0.0072,52.402287,-1.505224,0.4388888889,60.46,4,52.4023057,-1.5051778,1.372222222,63.251
9.1,-0.4669,-0.0152,9.9688,-0.0229,0.0345,-0.0228,,,,,,52.4023064,-1.5051762,1.330555556,62.092
9.199,-0.2485,0.1157,9.9889,-0.0072,0.0258,-0.0085,,,,,,52.4023072,-1.5051747,1.311111111,59.166
9.3,0.1107,0.0263,9.5418,-0.0287,0.0326,0.0049,,,,,,52.4023077,-1.5051731,1.305555556,61.474
9.399,-0.2204,0.002,9.4764,-0.049,0.0189,0.0138,,,,,,52.4023082,-1.5051713,1.286111111,64.317
9.5,-0.1966,-0.239,9.8104,-0.0373,0.0228,-0.0169,,,,,,52.402309,-1.5051698,1.277777778,59.411
9.599,-0.6632,-0.1427,10.0696,-0.0081,0.027,0.0105,,,,,,52.4023094,-1.5051681,1.266666667,61.339
9.7,-0.6931,0.1248,10.0598,-0.0135,0.0457,0.0109,,,,,,52.4023101,-1.5051665,1.247222222,59.496
9.799,-0.6126,0.2118,9.901,-0.0229,0.0374,0.0201,,,,,,52.4023106,-1.505165,1.202777778,60.363
9.9,-0.9796,-0.126,9.964,-0.023,0.0215,0.0193,,,,,,52.402311,-1.5051635,1.147222222,63.94
10,-1.1158,-0.1768,9.9853,-0.0242,0.0059,0.0354,,,,,,52.4023117,-1.5051622,1.083333333,59.962
10.1,-1.2023,-0.2488,9.9598,-0.0018,0.0091,-0.0013,,,,,,52.4023123,-1.5051611,1.013888889,58.105
10.2,-1.0336,-0.1419,9.9801,-0.0085,0.0228,-0.008,,,,,,52.4023126,-1.5051598,0.9472222222,63.161
10.299,-1.0331,-0.1296,9.8477,-0.0054,0.0222,0.0108,,,,,,52.4023131,-1.5051588,0.875,59.054
10.4,-1.0152,0.0456,9.8603,-0.0122,0.0226,0.0029,,,,,,52.4023137,-1.505158,0.7972222222,56.611
10.503,-1.0126,0.0821,9.8989,0.0283,0.0043,0.0135,,,,,,52.4023139,-1.5051571,0.7166666667,62.493
10.6,-0.9934,-0.0034,10.087,-0.0113,-0.0005,0.017,,,,,,52.4023145,-1.5051568,0.6555555556,50.878
10.699,-1.0361,-0.0758,10.0808,-0.0247,0.0077,0.0162,,,,,,52.4023148,-1.5051562,0.5833333333,54.061
10.8,-0.8538,-0.243,9.837,-0.0008,0.0113,0.025,,,,,,52.4023151,-1.5051555,0.5083333333,60.589
10.9,-0.6434,-0.1252,9.7647,-0.0224,0.0152,0.0145,,,,,,52.4023153,-1.5051554,0.4416666667,56.56
11,-0.833,-0.0506,9.9191,-0.032,0.004,-0.0118,,,,,,52.4023157,-1.5051551,0.3833333333,51.116
11.1,-0.8873,-0.1822,9.8714,-0.0014,0.0095,0.0076,,,,,,52.402316,-1.5051549,0.3194444444,51.8
11.2,-0.8884,-0.2272,9.8458,-0.0227,0.0012,-0.0103,,,,,,52.4023161,-1.5051549,0.2611111111,50.724
11.3,-0.6345,-0.1863,9.7787,-0.0027,-0.0049,-0.0079,,,,,,52.4023163,-1.5051548,0.1055555556,54.44
11.4,-0.7228,-0.1304,9.8433,0.0147,0.0145,0.0083,,,,,,52.4023163,-1.5051549,0,54.44
11.5,-0.7376,-0.0775,9.8657,0.0043,0.0117,0.0051,,,,,,52.4023164,-1.505155,0,54.44
11.6,0.1099,-0.1511,9.9674,0.0022,-0.0142,-0.0034,,,,,,52.4023165,-1.5051553,0,54.44
11.7,-0.0255,-0.3993,9.7266,-0.0098,0.0023,-0.0138,,,,,,52.4023166,-1.5051555,0,54.44
11.8,-0.4213,-0.1194,9.8092,0.0087,0.0054,0.0113,,,,,,52.4023167,-1.5051556,0,54.44
11.9,-0.0688,-0.1378,9.9859,0.0009,0.0113,0,,,,,,52.4023168,-1.5051558,0,54.44
11.999,-0.222,-0.152,10.0207,0.0077,-0.0101,-0.006,,,,,,52.4023168,-1.505156,0,54.44
12.1,-0.2542,-0.3177,9.8402,-0.0127,-0.0118,-0.0077,,,,,,52.4023169,-1.5051561,0,54.44
12.2,-0.1109,-0.2305,9.9569,-0.001,0.0126,0.011,,,,,,52.402317,-1.5051563,0,54.44
12.3,-0.1651,-0.1903,9.8417,0.0046,0.0116,0.0036,,,,,,52.4023171,-1.5051565,0,54.44
12.4,-0.1455,-0.2583,9.775,-0.0084,-0.0019,-0.0129,,,,,,52.4023171,-1.5051567,0,54.44
12.5,0.148,-0.2388,9.7585,-0.0059,-0.0079,-0.0153,,,,,,52.4023172,-1.5051569,0,54.44
12.599,-0.0846,-0.2779,9.8038,0.0004,0.0036,0.0068,,,,,,52.4023173,-1.5051571,0,54.44
12.7,-0.3363,-0.268,9.8691,-0.0003,0.0088,0.0058,,,,,,52.4023173,-1.5051573,0,54.44
12.799,-0.0397,-0.254,9.8088,-0.0082,-0.0092,-0.0183,,,,,,52.4023174,-1.5051574,0,54.44
12.899,0.1006,-0.2805,9.7312,0.0046,0.0061,0.0101,,,,,,52.4023175,-1.5051576,0,54.44
13,-0.2043,-0.3037,9.8801,-0.0042,0.0056,-0.01,,,,,,52.4023176,-1.5051578,0,54.44
13.099,-0.121,-0.1519,9.9708,-0.0079,-0.0031,0.0084,,,,,,52.4023176,-1.5051581,0,54.44
13.2,-0.2992,-0.1998,9.9736,0.0059,0.008,0.0024,,,,,,52.4023177,-1.5051583,0,54.44
13.3,-0.2658,-0.2116,10.0454,-0.005,-0.0058,-0.0053,,,,,,52.4023178,-1.5051585,0,54.44
13.399,0.0667,-0.2396,9.6898,0.0123,0.0049,0.0011,,,,,,52.4023178,-1.5051588,0,54.44
13.5,-0.2149,-0.2841,9.8804,0.0087,0.0097,0.011,,,,,,52.4023179,-1.505159,0,54.44
13.599,0.172,-0.3161,9.6959,-0.0106,-0.0167,-0.019,,,,,,52.402318,-1.5051592,0,54.44
13.699,-0.1956,-0.2789,9.9114,0.0106,-0.0028,-0.0117,,,,,,52.4023181,-1.5051594,0,54.44
13.8,-0.0364,-0.1247,10.0043,0.0154,0.0039,0.0143,,,,,,52.4023182,-1.5051595,0,54.44
13.9,-0.1987,-0.169,9.9297,-0.0004,-0.0105,-0.009,,,,,,52.4023183,-1.5051597,0,54.44
14,-0.0902,-0.2742,9.9134,-0.0134,0.0014,-0.0022,,,,,,52.4023184,-1.5051599,0,54.44
14.1,0.1391,-0.2518,9.7423,0.0105,0.0025,0.0128,,,,,,52.4023185,-1.50516,0,54.44
14.2,-0.2167,-0.2855,9.8646,0.0046,0.0086,-0.0045,,,,,,52.4023186,-1.5051602,0,54.44
14.3,0.6228,-0.2724,9.7827,0.0029,-0.0168,-0.011,,,,,,52.4023187,-1.5051604,0,54.44
14.4,0.2119,-0.4023,9.6989,0.0035,0.0261,0.0122,,,,,,52.4023189,-1.5051605,0,54.44
14.5,0.6295,-0.2258,10.0145,0.017,-0.0046,-0.0048,,,,,,52.402319,-1.5051605,0,54.44
14.599,0.3806,-0.3285,9.9282,0.0094,-0.0159,-0.0133,,,,,,52.4023192,-1.5051605,0,54.44
14.7,0.4802,-0.2073,9.9341,0.011,0.0148,-0.016,,,,,,52.4023195,-1.5051605,0,54.215
14.8,1.1189,-0.4438,9.692,0.0066,0.0082,0.0108,,,,,,52.4023198,-1.5051604,0.1083333333,50.345
14.9,0.7345,-0.3347,9.8145,0.009,-0.0125,-0.0119,,,,,,52.4023202,-1.5051601,0.2916666667,54.351
15,0.9311,-0.5317,9.6715,-0.007,0.0072,-0.0111,,,,,,52.4023206,-1.5051598,0.425,55.807
15.1,1.1125,-0.4236,9.6877,-0.0106,0.0091,-0.0045,,,,,,52.4023211,-1.5051594,0.5388888889,52.078
15.199,1.0791,-0.4882,9.7312,0.0245,0.0153,0.008,,,,,,52.4023216,-1.5051587,0.6611111111,60.433
15.3,0.9504,-0.2371,9.7278,0.0096,0.0084,-0.021,,,,,,52.4023222,-1.5051581,0.7805555556,51.735
15.399,1.4345,-0.3592,9.6139,0.0126,0.0087,-0.0167,,,,,,52.4023228,-1.5051572,0.8916666667,52.977
15.5,0.8023,-0.1796,9.841,-0.0046,0.0066,0.0131,,,,,,52.4023234,-1.5051564,1,53.156
15.6,0.9106,-0.1855,9.8621,0.0086,0.021,-0.0051,,,,,,52.4023242,-1.5051556,1.113888889,49.778
15.7,1.3595,-0.2945,9.6174,0.0128,0.034,-0.0002,,,,,,52.4023249,-1.5051545,1.222222222,51.832
15.799,0.4951,-0.4205,9.5209,0.01,0.0081,-0.0142,,,,,,52.4023257,-1.5051533,1.322222222,50.951
15.9,0.7377,-0.7613,9.795,0.0395,0.0202,0.0061,,,,,,52.4023267,-1.505152,1.411111111,49.693
15.999,0.5392,-0.6717,9.908,0.0298,-0.0113,0.0085,,,,,,52.4023277,-1.5051507,1.488888889,46.758
16.099,0.0754,-0.9196,9.905,0.0024,-0.0284,-0.0282,,,,,,52.4023288,-1.5051495,1.536111111,45.439
16.2,0.5997,-0.4665,9.6183,0.0063,-0.0518,-0.002,,,,,,52.4023298,-1.5051482,1.572222222,45.522
16.3,0.0469,-0.2515,9.9,0.0203,-0.0666,0.026,,,,,,52.4023309,-1.5051467,1.611111111,46.064
16.399,0.5203,-0.4692,9.7396,0.0034,-0.0842,0.0015,,,,,,52.4023319,-1.505145,1.672222222,50.134
16.5,0.6942,-0.8861,9.6859,0.0023,-0.092,0.0272,,,,,,52.4023329,-1.5051434,1.716666667,51.045
16.6,0.5915,-1.1936,9.725,-0.0007,-0.1206,0.0142,,,,,,52.402334,-1.5051416,1.794444444,50.983
16.7,0.5516,-0.9605,9.7048,-0.0129,-0.1037,0.0061,,,,,,52.4023349,-1.5051397,1.844444444,54.797
16.799,-0.0986,-1.0717,10.3274,0.0261,-0.1264,-0.0069,,,,,,52.4023358,-1.5051374,1.877777778,59.414
16.9,-0.7142,-1.0528,11.5699,0.0303,-0.1662,-0.0408,,,,,,52.4023367,-1.5051351,1.894444444,61.025
17,-0.622,0.4927,11.2029,0.04,-0.214,0.0343,,,,,,52.4023378,-1.5051333,1.958333333,59.315
17.099,1.3684,-0.844,10.0037,0.1092,-0.1076,-0.0554,,,,,,52.4023388,-1.5051314,2.063888889,58.76
17.2,3.2024,-1.558,8.9983,0.1423,-0.2501,0.1017,,,,,,52.4023398,-1.5051299,2.197222222,56.792
17.3,3.6032,-3.2876,9.7037,0.1986,-0.2882,0.0491,,,,,,52.4023407,-1.5051278,2.766666667,59.256
17.399,1.539,-2.6323,9.1438,-0.0068,-0.3123,0.009,,,,,,52.4023418,-1.5051256,2.875,59.711
17.5,1.8278,-2.9276,9.854,-0.0485,-0.3588,0.0298,,,,,,52.4023428,-1.5051227,2.955555556,63.228
17.599,-0.1121,-2.1928,9.7182,0.0475,-0.4302,0.0704,,,,,,52.4023438,-1.5051197,3.083333333,66.229
17.7,-0.5005,-1.7221,9.9738,0.0432,-0.4388,0.0546,,,,,,52.4023446,-1.5051162,3.227777778,69.128
17.8,-1.0558,-2.4494,10.5572,0.2477,-0.5139,0.0504,,,,,,52.4023451,-1.5051126,3.361111111,74.197
17.9,-0.478,-2.2133,10.3875,0.0752,-0.4293,-0.104,,,,,,52.4023454,-1.5051088,3.305555556,79.378
17.999,-0.6536,-0.4339,10.5181,-0.057,-0.4201,-0.05,,,,,,52.4023454,-1.5051045,3.225,86.3
18.1,-1.2057,-0.1014,10.1768,-0.0861,-0.4503,-0.0068,,,,,,52.4023457,-1.5051011,3.177777778,88.033
18.199,-1.1387,0.5354,9.3982,-0.0253,-0.4413,0.0768,,,,,,52.4023459,-1.5050976,3.147222222,89.885
18.299,-1.0209,-1.0094,9.0083,0.0103,-0.4025,0.144,,,,,,52.4023458,-1.5050938,3.127777778,90.54
18.4,-1.1872,-1.4911,9.5794,-0.0067,-0.4365,0.0919,,,,,,52.4023455,-1.50509,3.091666667,92.673
18.499,-1.4833,-1.338,10.0397,-0.032,-0.4528,0.0685,,,,,,52.4023451,-1.5050862,3.033333333,96.363
18.6,-1.301,-1.1151,10.1518,-0.0619,-0.4166,0.0248,,,,,,52.4023446,-1.5050826,3.002777778,97.893
18.699,-0.7155,-0.802,9.9927,-0.0424,-0.4058,0.0425,,,,,,52.4023438,-1.5050791,2.997222222,103.948
18.8,-0.3295,-1.0298,9.8602,-0.0262,-0.4247,0.0467,,,,,,52.4023429,-1.5050762,3.002777778,110.627
18.9,-0.188,-1.184,9.7623,-0.0017,-0.4089,0.0405,,,,,,52.4023417,-1.5050734,3.088888889,115.73
18.999,-0.3161,-1.9817,9.81,-0.0447,-0.3824,0.0478,52.402306,-1.505098,0.8138888889,105.48,6,52.4023407,-1.5050699,3.122222222,113.364
19.1,-0.1592,-1.5042,10.3729,-0.1041,-0.3647,0.0512,,,,,,52.4023396,-1.5050664,3.169444444,114.066
19.199,0.1057,-0.972,10.1663,-0.0421,-0.3724,0.0673,,,,,,52.4023382,-1.505063,3.269444444,117.712
19.3,-0.5882,-0.9332,9.9501,-0.0723,-0.4308,0.0594,,,,,,52.4023368,-1.5050595,3.344444444,119.988
19.4,-0.8068,-0.8866,9.8078,-0.01,-0.3972,0.0955,,,,,,52.4023354,-1.5050561,3.405555556,121.247
19.499,-1.1504,-1.1589,10.1093,-0.0106,-0.3845,0.0932,,,,,,52.4023338,-1.5050524,3.441666667,121.416
19.6,-1.3339,-0.5338,10.0181,-0.0501,-0.3863,0.0516,,,,,,52.402332,-1.505049,3.461111111,124.562
19.699,-1.2946,-0.4941,10.1228,-0.0499,-0.414,0.0065,,,,,,52.4023301,-1.5050459,3.469444444,128.769
19.8,-0.6781,-0.6427,9.6577,-0.0187,-0.3574,0.035,,,,,,52.402328,-1.5050426,3.463888889,130.713
19.9,-0.6107,-0.5649,9.5572,-0.019,-0.3431,0.0613,,,,,,52.4023259,-1.5050394,3.466666667,133.077
20,-0.6783,0.2005,9.6795,-0.0067,-0.3262,0.004,,,,,,52.4023237,-1.5050364,3.430555556,134.362
20.099,-0.6142,0.5462,10.0548,-0.0224,-0.2488,0.0009,,,,,,52.4023214,-1.5050334,3.388888889,136.439
20.2,-0.543,0.3642,9.9978,0.0295,-0.2204,-0.0085,,,,,,52.402319,-1.5050306,3.336111111,138.489
20.299,-0.4488,0.28,9.9897,0.0152,-0.2312,0.0003,,,,,,52.4023167,-1.5050278,3.283333333,139.369
20.4,-0.4019,0.3572,9.8499,-0.011,-0.179,0.0312,,,,,,52.4023144,-1.5050252,3.244444444,140.607
20.5,-0.4773,0.2534,9.7681,0.0063,-0.1619,0.0182,,,,,,52.4023122,-1.5050225,3.194444444,140.462
20.6,-0.118,-0.0534,10.0376,-0.0455,-0.1612,-0.0069,,,,,,52.4023099,-1.50502,3.141666667,141.937
20.7,0.2001,0.1572,9.9571,-0.0122,-0.1184,-0.0338,,,,,,52.4023078,-1.5050175,3.097222222,141.625
20.8,-0.4633,0.1713,9.7105,-0.0073,-0.101,0.0511,,,,,,52.4023053,-1.5050154,3.041666667,145.615
20.9,-0.6197,0.3905,9.8728,-0.0591,-0.1129,0.0099,,,,,,52.4023033,-1.5050135,2.991666667,145.948
20.999,-0.5539,0.5081,9.7284,0.0317,-0.1103,0.0332,,,,,,52.4023015,-1.505011,2.952777778,141.842
21.1,-0.8398,0.1968,9.9634,0.0059,-0.129,0.0323,,,,,,52.4022996,-1.5050086,2.883333333,139.987
21.2,-1.0522,0.0803,9.8607,-0.0237,-0.1307,-0.014,,,,,,52.4022975,-1.5050066,2.825,143.11
21.3,-1.1242,0.1788,9.6719,-0.0117,-0.1644,0.0133,,,,,,52.4022954,-1.5050048,2.766666667,145.838
21.399,-0.9799,0.5353,9.8401,0.0152,-0.1694,-0.0109,,,,,,52.4022933,-1.5050034,2.699999722,149.674
21.5,-0.7622,0.6323,9.8604,-0.0203,-0.1899,0.0131,,,,,,52.4022912,-1.5050015,2.636111111,148.863
21.6,-0.491,0.4225,9.8077,0.0018,-0.1527,0.0238,,,,,,52.4022891,-1.5050005,2.575,153.848
21.699,-0.6013,0.6615,9.8768,0.0015,-0.1514,-0.0164,,,,,,52.4022872,-1.5049988,2.505555556,150.874
21.801,-0.478,0.6663,9.9246,0.0077,-0.1544,0.0159,,,,,,52.4022852,-1.5049975,2.430555556,151.905
21.9,-0.1915,0.636,9.7686,0.0002,-0.1284,0.0039,,,,,,52.4022831,-1.5049965,2.35,155.432
